decade,r2,slope,intercept,n
1950,0.1905828818644384,0.43456043091901747,6.790476928770999,1939
1960,0.15355643369654604,0.3869721214682981,6.35002454990256,1915
1970,0.11009287192495987,0.33127654718053673,8.447847281392997,3456
1980,0.09914298305904523,0.31437596372921855,9.020733904011339,3932
1990,0.15787882435139988,0.3972856555447482,7.5987040538394135,3893
2000,0.25493572798917064,0.5048661342894678,5.432028601412147,3635
2010,0.3837244929347201,0.6206678984834563,4.324396554296865,4269
2020,0.3865939501198917,0.6331584318854755,3.8730287532703036,2082
